title,playlist,n_words,arousal,dominance,valence,negative,positive,surprise,trust,fear,disgust,anger,joy,anticipation,sadness,u_n_words,u_arousal,u_dominance,u_valence,u_negative,u_positive,u_surprise,u_trust,u_fear,u_disgust,u_anger,u_joy,u_anticipation,u_sadness,s_n_words,s_arousal,s_dominance,s_valence,s_negative,s_positive,s_surprise,s_trust,s_fear,s_disgust,s_anger,s_joy,s_anticipation,s_sadness,surprise_ratio,trust_ratio,fear_ratio,disgust_ratio,anger_ratio,joy_ratio,anticipation_ratio,sadness_ratio,sentiment,artist,wheel_playlist
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,surprise
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,anticipation
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,joy
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,anger
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,disgust
You Are Going to Hate This,teen_angst,148,0.44924324324324333,0.46908108108108115,0.5709999999999998,3,7,3,3,1,2,3,3,4,2,66,0.44924324324324333,0.46908108108108104,0.571,3,5,3,3,1,2,3,3,4,2,39,0.45890909090909093,0.47115151515151515,0.5732424242424244,3,5,3,3,1,2,3,3,4,2,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.10810810810810811,The Frights,trust
"You're Gonna Go Far, Kid",teen_angst,372,0.4792307692307691,0.5196346153846153,0.5931538461538461,15,12,5,10,2,5,14,7,6,6,121,0.47923076923076924,0.5196346153846153,0.5931538461538461,5,9,3,7,2,2,4,5,4,3,75,0.48304,0.5166399999999998,0.58968,5,9,3,7,2,2,4,5,4,3,0.09090909090909091,0.18181818181818182,0.03636363636363636,0.09090909090909091,0.2545454545454545,0.12727272727272726,0.10909090909090909,0.10909090909090909,-0.03225806451612903,The Offspring,trust
"You're Gonna Go Far, Kid",teen_angst,372,0.4792307692307691,0.5196346153846153,0.5931538461538461,15,12,5,10,2,5,14,7,6,6,121,0.47923076923076924,0.5196346153846153,0.5931538461538461,5,9,3,7,2,2,4,5,4,3,75,0.48304,0.5166399999999998,0.58968,5,9,3,7,2,2,4,5,4,3,0.09090909090909091,0.18181818181818182,0.03636363636363636,0.09090909090909091,0.2545454545454545,0.12727272727272726,0.10909090909090909,0.10909090909090909,-0.03225806451612903,The Offspring,surprise
"You're Gonna Go Far, Kid",teen_angst,372,0.4792307692307691,0.5196346153846153,0.5931538461538461,15,12,5,10,2,5,14,7,6,6,121,0.47923076923076924,0.5196346153846153,0.5931538461538461,5,9,3,7,2,2,4,5,4,3,75,0.48304,0.5166399999999998,0.58968,5,9,3,7,2,2,4,5,4,3,0.09090909090909091,0.18181818181818182,0.03636363636363636,0.09090909090909091,0.2545454545454545,0.12727272727272726,0.10909090909090909,0.10909090909090909,-0.03225806451612903,The Offspring,joy
"You're Gonna Go Far, Kid",teen_angst,372,0.4792307692307691,0.5196346153846153,0.5931538461538461,15,12,5,10,2,5,14,7,6,6,121,0.47923076923076924,0.5196346153846153,0.5931538461538461,5,9,3,7,2,2,4,5,4,3,75,0.48304,0.5166399999999998,0.58968,5,9,3,7,2,2,4,5,4,3,0.09090909090909091,0.18181818181818182,0.03636363636363636,0.09090909090909091,0.2545454545454545,0.12727272727272726,0.10909090909090909,0.10909090909090909,-0.03225806451612903,The Offspring,anger
Your Graduation,teen_angst,321,0.4376666666666666,0.47585000000000005,0.5546333333333333,8,8,4,4,0,1,2,4,9,2,124,0.4376666666666667,0.47584999999999983,0.5546333333333334,7,7,2,4,0,1,2,3,3,2,72,0.4485370370370372,0.4727592592592591,0.5467777777777778,7,7,2,4,0,1,2,3,3,2,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.34615384615384615,0.07692307692307693,0.0,Modern Baseball,surprise
Your Graduation,teen_angst,321,0.4376666666666666,0.47585000000000005,0.5546333333333333,8,8,4,4,0,1,2,4,9,2,124,0.4376666666666667,0.47584999999999983,0.5546333333333334,7,7,2,4,0,1,2,3,3,2,72,0.4485370370370372,0.4727592592592591,0.5467777777777778,7,7,2,4,0,1,2,3,3,2,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.34615384615384615,0.07692307692307693,0.0,Modern Baseball,trust
Your Graduation,teen_angst,321,0.4376666666666666,0.47585000000000005,0.5546333333333333,8,8,4,4,0,1,2,4,9,2,124,0.4376666666666667,0.47584999999999983,0.5546333333333334,7,7,2,4,0,1,2,3,3,2,72,0.4485370370370372,0.4727592592592591,0.5467777777777778,7,7,2,4,0,1,2,3,3,2,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.34615384615384615,0.07692307692307693,0.0,Modern Baseball,joy
Your Graduation,teen_angst,321,0.4376666666666666,0.47585000000000005,0.5546333333333333,8,8,4,4,0,1,2,4,9,2,124,0.4376666666666667,0.47584999999999983,0.5546333333333334,7,7,2,4,0,1,2,3,3,2,72,0.4485370370370372,0.4727592592592591,0.5467777777777778,7,7,2,4,0,1,2,3,3,2,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.34615384615384615,0.07692307692307693,0.0,Modern Baseball,anticipation
brutal,teen_angst,299,0.5010769230769229,0.5225230769230769,0.5741692307692307,21,11,3,7,19,6,14,8,12,12,128,0.5010769230769231,0.5225230769230771,0.5741692307692308,13,9,3,5,10,4,7,6,8,8,82,0.5120847457627119,0.5197457627118646,0.5656101694915253,13,9,3,5,10,4,7,6,8,8,0.037037037037037035,0.08641975308641975,0.2345679012345679,0.07407407407407407,0.1728395061728395,0.09876543209876543,0.14814814814814814,0.14814814814814814,-0.13377926421404682,Olivia Rodrigo,sadness
brutal,teen_angst,299,0.5010769230769229,0.5225230769230769,0.5741692307692307,21,11,3,7,19,6,14,8,12,12,128,0.5010769230769231,0.5225230769230771,0.5741692307692308,13,9,3,5,10,4,7,6,8,8,82,0.5120847457627119,0.5197457627118646,0.5656101694915253,13,9,3,5,10,4,7,6,8,8,0.037037037037037035,0.08641975308641975,0.2345679012345679,0.07407407407407407,0.1728395061728395,0.09876543209876543,0.14814814814814814,0.14814814814814814,-0.13377926421404682,Olivia Rodrigo,fear
