title,playlist,n_words,arousal,dominance,valence,negative,positive,surprise,trust,fear,disgust,anger,joy,anticipation,sadness,u_n_words,u_arousal,u_dominance,u_valence,u_negative,u_positive,u_surprise,u_trust,u_fear,u_disgust,u_anger,u_joy,u_anticipation,u_sadness,s_n_words,s_arousal,s_dominance,s_valence,s_negative,s_positive,s_surprise,s_trust,s_fear,s_disgust,s_anger,s_joy,s_anticipation,s_sadness,surprise_ratio,trust_ratio,fear_ratio,disgust_ratio,anger_ratio,joy_ratio,anticipation_ratio,sadness_ratio,sentiment,artist,wheel_playlist
Teenagers,teen_angst,315,0.4824666666666667,0.4739333333333334,0.488088888888889,35,4,11,3,19,12,24,3,12,8,100,0.4824666666666669,0.4739333333333333,0.48808888888888896,11,3,3,2,7,4,8,2,4,4,65,0.48559523809523825,0.46671428571428564,0.47461904761904755,11,3,3,2,7,4,8,2,4,4,0.11956521739130435,0.03260869565217391,0.20652173913043478,0.13043478260869565,0.2608695652173913,0.03260869565217391,0.13043478260869565,0.08695652173913043,-0.39365079365079364,My Chemical Romance,anticipation
The Drug In Me Is You,teen_angst,381,0.4870384615384614,0.47642307692307695,0.5006025641025643,23,14,3,8,14,4,6,5,14,18,144,0.4870384615384613,0.47642307692307695,0.5006025641025642,17,7,2,5,10,4,6,3,7,10,98,0.4997183098591548,0.47991549295774655,0.49457746478873243,17,7,2,5,10,4,6,3,7,10,0.041666666666666664,0.1111111111111111,0.19444444444444445,0.05555555555555555,0.08333333333333333,0.06944444444444445,0.19444444444444445,0.25,-0.09448818897637795,Falling In Reverse,sadness
The Drug In Me Is You,teen_angst,381,0.4870384615384614,0.47642307692307695,0.5006025641025643,23,14,3,8,14,4,6,5,14,18,144,0.4870384615384613,0.47642307692307695,0.5006025641025642,17,7,2,5,10,4,6,3,7,10,98,0.4997183098591548,0.47991549295774655,0.49457746478873243,17,7,2,5,10,4,6,3,7,10,0.041666666666666664,0.1111111111111111,0.19444444444444445,0.05555555555555555,0.08333333333333333,0.06944444444444445,0.19444444444444445,0.25,-0.09448818897637795,Falling In Reverse,anticipation
The Drug In Me Is You,teen_angst,381,0.4870384615384614,0.47642307692307695,0.5006025641025643,23,14,3,8,14,4,6,5,14,18,144,0.4870384615384613,0.47642307692307695,0.5006025641025642,17,7,2,5,10,4,6,3,7,10,98,0.4997183098591548,0.47991549295774655,0.49457746478873243,17,7,2,5,10,4,6,3,7,10,0.041666666666666664,0.1111111111111111,0.19444444444444445,0.05555555555555555,0.08333333333333333,0.06944444444444445,0.19444444444444445,0.25,-0.09448818897637795,Falling In Reverse,fear
The Taste of Ink,teen_angst,311,0.40719565217391307,0.49645652173913035,0.611,1,13,1,6,1,4,0,4,13,6,106,0.407195652173913,0.4964565217391305,0.611,1,6,1,2,1,1,0,1,6,3,65,0.4121627906976744,0.49055813953488364,0.6064186046511629,1,6,1,2,1,1,0,1,6,3,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.37142857142857144,0.17142857142857143,0.15434083601286175,The Used,trust
The Taste of Ink,teen_angst,311,0.40719565217391307,0.49645652173913035,0.611,1,13,1,6,1,4,0,4,13,6,106,0.407195652173913,0.4964565217391305,0.611,1,6,1,2,1,1,0,1,6,3,65,0.4121627906976744,0.49055813953488364,0.6064186046511629,1,6,1,2,1,1,0,1,6,3,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.37142857142857144,0.17142857142857143,0.15434083601286175,The Used,joy
The Taste of Ink,teen_angst,311,0.40719565217391307,0.49645652173913035,0.611,1,13,1,6,1,4,0,4,13,6,106,0.407195652173913,0.4964565217391305,0.611,1,6,1,2,1,1,0,1,6,3,65,0.4121627906976744,0.49055813953488364,0.6064186046511629,1,6,1,2,1,1,0,1,6,3,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.37142857142857144,0.17142857142857143,0.15434083601286175,The Used,anticipation
The Taste of Ink,teen_angst,311,0.40719565217391307,0.49645652173913035,0.611,1,13,1,6,1,4,0,4,13,6,106,0.407195652173913,0.4964565217391305,0.611,1,6,1,2,1,1,0,1,6,3,65,0.4121627906976744,0.49055813953488364,0.6064186046511629,1,6,1,2,1,1,0,1,6,3,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.37142857142857144,0.17142857142857143,0.15434083601286175,The Used,sadness
The Taste of Ink,teen_angst,311,0.40719565217391307,0.49645652173913035,0.611,1,13,1,6,1,4,0,4,13,6,106,0.407195652173913,0.4964565217391305,0.611,1,6,1,2,1,1,0,1,6,3,65,0.4121627906976744,0.49055813953488364,0.6064186046511629,1,6,1,2,1,1,0,1,6,3,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.37142857142857144,0.17142857142857143,0.15434083601286175,The Used,disgust
Time,teen_angst,165,0.46451111111111115,0.48546666666666677,0.5131555555555556,10,11,3,9,7,6,10,9,10,4,96,0.464511111111111,0.48546666666666644,0.5131555555555558,9,8,3,5,7,5,9,6,7,4,63,0.46939534883720924,0.48811627906976723,0.5145813953488374,9,8,3,5,7,5,9,6,7,4,0.05172413793103448,0.15517241379310345,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.15517241379310345,0.1724137931034483,0.06896551724137931,0.024242424242424242,Vundabar,trust
